PLAYER,DBLDBL
"Jamal Murray, G",1
PLAYER,DBLDBL
"Jeremy Lamb, SG",1
"Patty Mills, PG",1
"Michael Beasley, SF",1
"Cory Joseph, PG",1
"Jeff Green, SF",1
"Doug McDermott, SF",1
"Tony Snell, SF",1
"Shawn Long, PF",1
"Al Jefferson, C",1
"Sergio Rodriguez, PG",1
PLAYER,DBLDBL
"Isaiah Whitehead, G",1
"Timofey Mozgov, C",1
"Anthony Tolliver, PF",1
"Justin Hamilton, C",1
"Patrick Patterson, PF",1
"James Ennis III, SF",1
"Kelly Oubre Jr., SF",1
"Trey Lyles, PF",1
"Lance Thomas, SF",1
"Jerian Grant, PG",1
"Richard Jefferson, SF",1
"Terry Rozier, PG",1
"Meyers Leonard, PF",1
"Alexis Ajinca, C",1
"Luis Scola, PF",1
"Denzel Valentine, SG",1
"Thomas Robinson, PF",1
"Juan Hernangomez, PF",1
"Roy Hibbert, C",1
"Jarell Martin, PF",1
PLAYER,DBLDBL
"Kris Dunn, PG",1
"Tyler Zeller, C",1
"Dragan Bender, PF",1
"Henry Ellenson, F",1
"Maurice Ndour, SF",1
"Salah Mejri, C",1
"Omer Asik, C",1
"Tomas Satoransky, SG",1
"Marshall Plumlee, C",1
"Cole Aldrich, C",1
