ESPN Rank,FGA2017,Player Name,Team + Position,GP2017,Min2017,FGP2017,FTP2017,3PM2017,REB2017,AST2017,ATO2017,STL2017,BLK2017,TO2017,PTS2017,GP2018,Min2018,FGP2018,FTP2018,3PM2018,REB2018,AST2018,ATO2018,STL2018,BLK2018,TO2018,PTS2018,3PP2017,3PA2017,DD2017,FTA2017,FTM2017
25,8.6,Draymond Green, GS SF,76,32.5,0.418,0.709,1.1,7.9,7,2.9,2,1.4,2.4,10.2,78,32,0.456,0.708,1.3,8.1,6.2,2.69,1.8,1.2,2.3,11.5,0.308,3,17,2.8,2
26,15.3,Kyle Lowry, Tor PG,60,37.4,0.464,0.819,3.2,4.8,7,2.41,1.5,0.3,2.9,22.4,76,36,0.428,0.825,2.6,5,6.5,2.61,1.8,0.3,2.5,19.1,0.412,8,11,6.1,5
27,17.6,Klay Thompson, GS SG,78,34,0.468,0.853,3.4,3.7,2.1,1.25,0.8,0.5,1.6,22.3,78,33,0.478,0.863,3.4,3.6,2.5,1.42,0.9,0.6,1.7,21.5,0.414,8,,2.8,2.4
28,14.6,Mike Conley, Mem PG,69,33.2,0.459,0.859,2.5,3.5,6.3,2.78,1.3,0.3,2.3,20.5,74,33,0.45,0.866,2,3.8,5.8,2.77,1.4,0.3,2.1,18.4,0.407,6,8,5.3,4.6
29,15.7,Eric Bledsoe, Pho PG,66,33,0.434,0.847,1.6,4.8,6.3,1.87,1.4,0.5,3.4,21.1,74,32,0.444,0.836,1.3,4.8,6,1.94,1.6,0.5,3.1,18.8,0.335,5,7,6.9,5.9
30,14.9,Kristaps Porzingis, NY PF,66,32.8,0.45,0.786,1.7,7.2,1.5,0.82,0.7,2,1.8,18.1,77,33,0.454,0.819,1.5,7.8,2,1,0.9,1.9,2,19.4,0.357,5,12,3.8,3
31,10.7,Myles Turner, Ind PF,81,31.4,0.511,0.809,0.5,7.3,1.3,1.01,0.9,2.1,1.3,14.5,77,32,0.51,0.823,0.5,8.2,1.8,1.11,1,2.1,1.6,17.1,,,15,3.7,3
32,,Khris Middleton, Mil SF,29,30.7,0.45,0.88,1.6,4.2,3.4,1.52,1.4,0.2,2.2,14.7,73,35,0.457,0.894,2,4.8,4.2,1.94,1.7,0.2,2.1,17.5,,,,3.2,2.8
33,,Joel Embiid, Phi C,31,25.4,0.466,0.783,1.2,7.8,2.1,0.56,0.9,2.5,3.8,20.2,50,25,0.47,0.787,1.1,6.7,2.5,0.8,1,2.2,3.1,17.2,,,9,7.9,6.2
34,15.7,Marc Gasol, Mem C,74,34.2,0.459,0.837,1.4,6.3,4.6,2.04,0.9,1.3,2.2,19.5,76,34,0.464,0.818,0.8,7.4,4.2,1.94,1,1.4,2.2,17.3,0.388,4,11,4.5,3.8
35,20.9,DeMar DeRozan, Tor SG,74,35.4,0.467,0.842,0.4,5.2,3.9,1.61,1.1,0.2,2.4,27.3,76,35,0.449,0.842,0.5,5.1,4,1.76,1.1,0.2,2.3,23.1,,,5,8.7,7.4
36,14.1,Paul Millsap, Den PF,69,34,0.442,0.768,1.1,7.7,3.7,1.59,1.3,0.9,2.3,18.1,77,33,0.461,0.76,1.2,7.8,3.7,1.59,1.7,1.1,2.3,17.4,0.311,3,19,5.9,4.5
37,15.9,Blake Griffin,*,61,34,0.493,0.76,0.6,8.1,4.9,2.11,0.9,0.4,2.3,21.6,68,34,0.502,0.757,0.5,7.9,5.1,2.09,1,0.4,2.4,22.4,,,19,6.9,5.2
